fax_number,one_time_acct,address,name,name_2,city,title,express_station,train_station,location_no__1,location_no__2,authorization,industry,data_line,unloading_pts,billing_block,fiscal_address,working_times,alternat_payer,corporate_group,account_group,customer_class,location_code,nielsen_id,district,po_box,po_box_pcode,regional_market,equalizatn_tax,liable_for_vat,telebox,telephone_2,teletex,telex,competitors,sales_partner,prospect,cust_type_4,default_sp,legal_status,industry_code_1,industry_code_2,industry_code_3,industry_code_4,industry_code_5,initial_contact,annual_sales,sales_year,currency,employee,year,natural_person,UMSA1,fi_year_variant,usage,by_customer,after_delivery,ref_acct_group,p_o_box_city,plant,dme_indicator,instruction_key,status_of_transfer,hier_assignment,payment_block,lab_cust__group,non_milit__use,military_use,alt_payer_doc_,tax_type,tax_number_type,tax_number_3,tax_number_4,icms_exempt,ipi_exempt,subtrib_group,cfop_category,icms_law,ipi_law,biochem_warfare,nucl_nonprolif,natl_security,missile_techn,sales_block,url,rep_s_name,type_of_business,type_of_industry,confirm_status,confirm_date,confirm_time,deletion_block,consumer,max__stack_hght,pkm_length_unit,customerrelated,pkm_of_custom,no_layers_inpal,material_spec,pack_pcktype,side_preference,f_b_preference,collunloadpoint,agency_loc_cd,payment_office,processor_group,slaprepr_proced,PSON1,PSON2,name_3,first_name,PSOTL,house_number,street,description,PSOO2,PSOO3,PSOO4,PSOO5,company_code,sales_organization,distribution_channel,division
999999990,,1625,"ZZZZZZ,ZZ",,ZZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999999,,2053,"ZZZZZZZZZZZZZZZZZZZZZ,",,ZZZZZZZZZZ,,,,8430490,25,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999990,,2216,"ZZZZZ,ZZ",,ZZZZZZZZZZZZZ,,,,8431970,0,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2066,"ZZZZZZZZZZZZZZ,ZZZZ",,ZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z3,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
990999990,,1576,"ZZZZZZZZZZZZZZ,ZZ",,ZZZZZZZZZ,,,,8424316,20505,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,1777,"ZZZZZZZZZZZZZZZZZZ,ZZZ",,ZZZZZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z6,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999990,,1708,ZZZZZZZZZZZZZZZZZZZZZZ,,ZZZZZZZ,,,,8427040,1,,,,,,,,,,1,,,Z3,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2259,"ZZZZZZZZZZZZZZZZZZ,ZZ",,ZZZZZZZZZZZZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z1,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999999099,,2171,"ZZZZZZZZZZ,ZZ",,ZZZZZZZZ,,,,8430564,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,1622,"ZZZZZZZZZZZ,ZZZZZZZZZ",,ZZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,1639,ZZZZZZZZZZZZZZZZZZZZZ,,ZZZZZZ,,,,8480015,40902,,,,,,,,,,1,,,Z4,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2207,"ZZZZZZZZZZZZZ,ZZZZ",,ZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z2,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
999900999,,1636,"ZZZZZZZZZZZ,ZZZZZZZ",,ZZZZZZZZZZZZZZZ,,,,8480022,65,,,,,,,,,,1,,,Z1,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
,,2190,"ZZZZZZZZZZZZZ,ZZZZ",,ZZZZZZZ,,,,0,0,,,,,,,,,,1,,,Z3,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,,,,,,,,Z,0,,,Z,,,,,,,,,,,,,,,,,,,,,,,,2024-01-26 12:00:00,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,G100,G100,20,10
